日付,最高気温,最高気温(平年),最低気温,最低気温(平年),平均気温,平均気温(平年)
2024/5/1,20.3,22.0,10.7,10.5,15.8,16.1
2024/5/2,19.9,22.2,10.3,10.7,14.6,16.3
2024/5/3,24.0,22.3,8.7,10.9,16.4,16.5
2024/5/4,28.9,22.4,11.1,11.1,19.4,16.6
2024/5/5,28.3,22.5,11.4,11.3,20.7,16.8
2024/5/6,23.1,22.6,17.5,11.5,20.7,16.9
2024/5/7,22.6,22.7,16.9,11.6,19.3,17.0
2024/5/8,23.4,22.8,11.1,11.7,17.6,17.1
2024/5/9,19.0,22.8,8.4,11.9,12.8,17.2
2024/5/10,23.8,22.9,5.7,12.0,16.2,17.3
2024/5/11,26.8,22.9,9.9,12.1,18.9,17.4
2024/5/12,24.3,23.0,15.6,12.3,20.6,17.4
2024/5/13,20.2,23.1,14.2,12.4,17.2,17.5
2024/5/14,22.7,23.1,12.1,12.5,16.6,17.7
2024/5/15,25.4,23.3,10.1,12.7,18.1,17.8
2024/5/16,26.3,23.4,14.2,12.8,18.9,17.9
2024/5/17,26.8,23.5,10.5,12.9,19.6,18.0
2024/5/18,28.7,23.7,12.3,13.1,20.8,18.2
2024/5/19,23.6,23.8,15.6,13.3,19.6,18.3
2024/5/20,20.8,24.0,13.3,13.4,16.8,18.5
2024/5/21,28.1,24.2,15.1,13.6,21.8,18.6
2024/5/22,25.4,24.3,15.7,13.8,19.7,18.8
2024/5/23,24.7,24.5,14.0,13.9,19.5,18.9
2024/5/24,30.4,24.6,15.5,14.1,22.5,19.1
2024/5/25,23.9,24.7,17.6,14.3,19.9,19.2
2024/5/26,24.7,24.8,16.0,14.4,19.9,19.3
2024/5/27,25.9,24.8,15.0,14.6,20.9,19.4
2024/5/28,25.8,24.9,19.2,14.7,22.1,19.5
2024/5/29,27.9,25.0,17.4,14.8,22.3,19.6
2024/5/30,27.1,25.0,15.1,14.9,21.5,19.7
2024/5/31,20.8,25.1,16.4,15.1,18.5,19.8
2024/6/1,27.4,25.1,16.3,15.2,20.9,19.9
2024/6/2,21.6,25.1,15.3,15.3,17.3,20.0
2024/6/3,25.3,25.2,14.4,15.4,18.0,20.0
2024/6/4,24.9,25.2,13.6,15.6,18.7,20.1
2024/6/5,27.4,25.2,14.3,15.7,20.9,20.2
2024/6/6,26.4,25.2,16.3,15.9,21.2,20.3
2024/6/7,27.1,25.3,16.8,16.1,21.6,20.4
2024/6/8,29.1,25.3,15.1,16.2,21.7,20.5
2024/6/9,25.6,25.3,15.9,16.4,20.3,20.6
2024/6/10,24.5,25.3,17.1,16.6,20.5,20.7
2024/6/11,29.1,25.4,17.7,16.8,23.4,20.8
2024/6/12,29.9,25.5,17.9,16.9,23.6,20.9
2024/6/13,25.2,25.6,18.1,17.1,21.8,21.0
2024/6/14,32.6,25.7,17.1,17.3,25.1,21.1
2024/6/15,31.7,25.8,18.8,17.4,24.4,21.3
2024/6/16,30.2,25.9,18.0,17.6,23.7,21.4
2024/6/17,31.5,26.0,20.9,17.8,25.5,21.5
2024/6/18,21.7,26.1,17.2,17.9,18.4,21.6
2024/6/19,31.2,26.2,14.5,18.1,23.2,21.7
2024/6/20,28.6,26.3,17.4,18.2,23.4,21.9
2024/6/21,21.9,26.4,15.4,18.4,18.9,22.0
2024/6/22,30.6,26.5,14.2,18.5,23.7,22.1
2024/6/23,23.8,26.6,18.7,18.7,21.5,22.3
2024/6/24,34.1,26.8,20.0,18.8,27.4,22.4
2024/6/25,32.3,27.0,23.9,19.0,27.8,22.6
2024/6/26,32.9,27.1,23.2,19.2,26.9,22.8
2024/6/27,30.6,27.3,21.6,19.3,25.0,23.0
2024/6/28,22.4,27.5,20.6,19.5,21.3,23.1
2024/6/29,28.8,27.7,20.3,19.7,23.6,23.3
2024/6/30,28.8,27.9,20.0,19.8,25.0,23.5
2024/7/1,29.4,28.1,23.7,20.0,26.0,23.7
2024/7/2,32.4,28.3,22.6,20.1,27.0,23.8
2024/7/3,32.4,28.5,23.3,20.2,26.5,24.0
2024/7/4,36.0,28.6,23.2,20.4,29.3,24.1
2024/7/5,36.2,28.8,23.8,20.5,29.4,24.2
2024/7/6,34.9,28.9,24.8,20.6,28.5,24.3
2024/7/7,37.2,29.0,23.5,20.7,30.3,24.5
2024/7/8,37.8,29.2,25.3,20.8,31.1,24.6
2024/7/9,31.8,29.3,24.4,20.9,28.3,24.7
2024/7/10,31.5,29.4,23.1,21.0,27.9,24.8
2024/7/11,29.6,29.6,23.8,21.1,26.9,24.9
2024/7/12,25.0,29.7,21.7,21.2,23.5,25.0
2024/7/13,31.8,29.8,21.3,21.3,25.8,25.1
2024/7/14,26.8,29.9,23.4,21.4,24.8,25.2
2024/7/15,25.3,30.0,22.1,21.4,23.4,25.3
2024/7/16,24.3,30.1,21.7,21.5,22.5,25.3
2024/7/17,31.5,30.2,21.4,21.6,25.7,25.4
2024/7/18,34.5,30.3,23.4,21.7,27.9,25.5
2024/7/19,35.8,30.3,22.9,21.7,29.3,25.6
2024/7/20,36.7,30.5,24.2,21.8,30.1,25.7
2024/7/21,36.3,30.6,25.2,21.9,29.4,25.8
2024/7/22,37.6,30.7,23.6,22.0,28.5,25.9
2024/7/23,36.6,30.8,23.0,22.1,30.1,26.0
2024/7/24,37.2,31.0,24.7,22.2,29.6,26.1
2024/7/25,36.7,31.1,24.3,22.3,28.7,26.2
2024/7/26,37.2,31.3,23.5,22.4,29.7,26.3
2024/7/27,37.4,31.4,25.3,22.5,29.6,26.4
2024/7/28,37.6,31.6,24.8,22.6,30.9,26.5
2024/7/29,38.7,31.7,25.7,22.6,31.3,26.6
2024/7/30,35.5,31.8,25.1,22.7,28.7,26.7
2024/7/31,34.7,31.9,24.8,22.8,28.4,26.8
2024/8/1,34.3,32.0,23.5,22.8,28.7,26.9
2024/8/2,35.2,32.1,25.5,22.8,29.1,26.9
2024/8/3,35.3,32.1,24.3,22.9,29.2,27.0
2024/8/4,36.9,32.2,24.3,22.9,29.5,27.0
2024/8/5,35.9,32.2,25.1,22.9,29.2,27.0
2024/8/6,33.4,32.2,24.6,22.9,28.5,27.0
2024/8/7,34.7,32.1,23.5,22.9,27.6,27.0
2024/8/8,34.4,32.1,24.0,22.9,28.3,27.0
2024/8/9,35.0,32.0,25.1,22.9,28.4,26.9
2024/8/10,34.4,32.0,24.5,22.9,29.2,26.9
2024/8/11,36.4,31.9,24.6,22.9,30.6,26.8
2024/8/12,37.0,31.8,25.2,22.8,31.2,26.8
2024/8/13,36.2,31.8,25.4,22.8,30.3,26.7
2024/8/14,33.1,31.7,25.7,22.7,28.2,26.6
2024/8/15,35.1,31.6,25.8,22.6,29.7,26.6
2024/8/16,28.9,31.5,24.6,22.6,26.3,26.5
2024/8/17,36.7,31.4,23.6,22.5,30.1,26.4
2024/8/18,34.5,31.4,26.4,22.4,29.3,26.4
2024/8/19,35.5,31.3,22.7,22.4,28.9,26.3
2024/8/20,34.6,31.2,23.8,22.3,28.4,26.2
2024/8/21,34.4,31.1,24.4,22.2,28.5,26.1
2024/8/22,32.6,31.0,25.9,22.1,28.2,26.0
2024/8/23,34.8,30.9,25.6,22.0,29.2,26.0
2024/8/24,35.6,30.8,24.2,22.0,28.7,25.9
2024/8/25,33.6,30.7,24.2,21.9,28.2,25.8
2024/8/26,33.5,30.6,25.0,21.8,28.9,25.7
2024/8/27,32.6,30.4,24.3,21.7,26.6,25.6
2024/8/28,32.4,30.3,23.3,21.6,26.9,25.5
2024/8/29,30.3,30.2,23.1,21.5,25.0,25.4
2024/8/30,26.2,30.1,23.2,21.4,24.9,25.3
2024/8/31,32.0,30.0,22.9,21.3,26.3,25.2
2024/9/1,28.9,29.9,22.4,21.2,25.0,25.1
2024/9/2,34.1,29.8,22.9,21.1,28.9,25.0
2024/9/3,26.4,29.7,21.9,21.0,24.1,24.9
2024/9/4,29.6,29.5,20.8,20.9,25.0,24.8
2024/9/5,32.5,29.4,20.7,20.8,26.4,24.7
2024/9/6,34.7,29.2,21.8,20.7,27.6,24.5
2024/9/7,34.4,29.1,24.2,20.6,28.3,24.4
2024/9/8,34.6,28.9,23.2,20.4,28.1,24.2
2024/9/9,34.2,28.7,24.9,20.2,28.1,24.1
2024/9/10,34.3,28.5,23.9,20.1,28.3,23.9
2024/9/11,35.2,28.3,23.7,19.9,28.7,23.7
2024/9/12,35.1,28.1,25.8,19.7,29.5,23.5
2024/9/13,34.8,27.9,24.4,19.5,29.4,23.3
2024/9/14,34.5,27.6,24.0,19.3,28.7,23.1
2024/9/15,35.5,27.4,24.5,19.1,29.7,22.9
2024/9/16,26.8,27.1,23.5,18.8,25.1,22.6
2024/9/17,33.6,26.8,23.0,18.6,27.4,22.4
2024/9/18,36.5,26.6,24.1,18.4,27.9,22.1
2024/9/19,32.5,26.3,22.3,18.1,25.7,21.9
2024/9/20,34.5,26.1,22.7,17.9,27.3,21.6
2024/9/21,30.4,25.8,22.4,17.6,25.9,21.4
2024/9/22,24.4,25.6,20.1,17.4,22.1,21.2
2024/9/23,27.5,25.3,19.2,17.2,22.4,21.0
2024/9/24,23.2,25.1,17.0,17.0,19.8,20.7
2024/9/25,23.6,24.9,16.5,16.8,20.6,20.6
2024/9/26,30.4,24.8,19.7,16.6,24.7,20.4
2024/9/27,24.8,24.6,21.6,16.5,23.0,20.2
2024/9/28,28.5,24.5,19.9,16.3,23.7,20.1
2024/9/29,23.4,24.3,19.4,16.2,21.2,19.9
2024/9/30,24.5,24.2,18.3,16.0,21.0,19.8
2024/10/1,26.2,24.0,18.1,15.9,22.3,19.6
2024/10/2,32.7,23.9,18.5,15.7,24.9,19.5
2024/10/3,23.5,23.7,19.7,15.6,21.5,19.3
2024/10/4,27.9,23.6,20.1,15.5,22.9,19.2
2024/10/5,22.8,23.4,18.6,15.3,20.3,19.0
2024/10/6,23.9,23.2,18.6,15.1,20.9,18.8
2024/10/7,30.2,23.1,19.8,14.9,24.7,18.7
2024/10/8,23.1,22.9,14.1,14.7,18.4,18.5
2024/10/9,18.1,22.7,14.6,14.5,16.0,18.3
2024/10/10,19.6,22.5,12.4,14.3,16.5,18.1
2024/10/11,24.8,22.4,12.8,14.1,18.0,17.9
2024/10/12,26.1,22.2,13.4,13.9,19.5,17.7
